name,name_en,railway,ele,operator_t,layer,addr_full,addr_city,source,name_hi,name_ta,osm_id,osm_type,geometry
Bangalbaree,,station,,,,,,bing;DigitalGlobeStandard,बंगालबाड़ी,,4960574648,nodes,POINT (88.2299734 25.6269972)
Jamui,,station,,,,,,,,,1775321358,nodes,POINT (86.2551142 24.9727374)
Birapatti,,station,,,,,,,,,292671742,nodes,POINT (82.913046 25.4061855)
Paras Pani,,station,,,,,,,,,10249341948,nodes,POINT (83.0343788 24.3901235)
Sagarpali,,station,,,,,,,,,10245319634,nodes,POINT (84.1000413 25.7579491)
Chit Baragaon,,station,,,,,,,,,8999686365,nodes,POINT (84.00154 25.744109)
Chhapra Junction,,station,,,,,Chhapra,,,,7606840637,nodes,POINT (84.7250566 25.7872602)
Kumahu,,station,,,,,,,,,10249737147,nodes,POINT (83.8491878 25.02087)
Kirtyanand Nagar,,station,,,,,,,,,2164625974,nodes,POINT (87.3965742 25.821014)
Parmanandpur,,station,,,,,,,,,10250405493,nodes,POINT (85.134363 25.7411922)
Teknewas,,station,,,,,,,,,1458097506,nodes,POINT (84.6897 25.8075556)
Paterhi,,station,,,,,,,,,10243365035,nodes,POINT (84.8007771 25.917719)
Gautamsthan,,station,,,,,,,,,2876863011,nodes,POINT (84.6390158 25.7898695)
Awatar Nagar,,station,,,,,,,,,2163409013,nodes,POINT (84.9569607 25.7648032)
Sarvodaya Halt,,station,,,,,,,,,4002518539,nodes,POINT (84.502519 25.553259)
Bihiya,,station,,,,,,,,,5768200536,nodes,POINT (84.4488679 25.5586379)
Banahi,,station,,,,,,,,,312814036,nodes,POINT (84.3911004 25.5613457)
Sikariya Railway Station,,station,,,,,,,,,5768200544,nodes,POINT (84.348845 25.5631848)
Twining Ganj,,station,,,,,,,,,1126786493,nodes,POINT (84.2180813 25.5690003)
Kauriya Halt,,station,,,,,,,,,4002518542,nodes,POINT (84.5217422 25.5507321)
Banka Ghat,,station,,,,,,,,,7572390825,nodes,POINT (85.273359 25.5473081)
Fatuha Junction,,station,,,,,,,,,5915383687,nodes,POINT (85.3039643 25.5032324)
Jamira Halt,,station,,,,,,,,,4002518584,nodes,POINT (84.7055929 25.5575436)
Jagjeevan Halt,,station,,,,,,,,,4002518583,nodes,POINT (84.6291449 25.5479996)
Ara Junction,,station,,,,,Arrah,,,,7572390845,nodes,POINT (84.6616316 25.5484661)
Chhapra Kacheri,,station,,,,,,,,,1147537533,nodes,POINT (84.7459191 25.7860235)
Daudpur,,station,,,,,,,,,1458098410,nodes,POINT (84.5907932 25.9070373)
Koelwar,,station,,,,,,,,,7572390829,nodes,POINT (84.7927554 25.5693726)
Dumri Juara,,station,,,,,,,,,2163408921,nodes,POINT (84.8710707 25.7490969)
Mendu,,station,,,,,,,,,784500855,nodes,POINT (78.1197916 27.6204051)
Hathras Road,,station,,,,,,,,,1151066781,nodes,POINT (78.1383999 27.6230519)
Alia Bada,,station,,,,,,,,,5775380886,nodes,POINT (70.2108795 22.4470607)
Sanosara,,station,,,,,,,,,6762251925,nodes,POINT (71.7884982 21.7484663)
Dhola Junction,,station,,,,,,,,,910816142,nodes,POINT (71.7396251 21.8226487)
Ingorala,,station,,,,,,,,,6763995811,nodes,POINT (71.6821072 21.8223364)
Vijayanagar,,station,,,,,,,,,6105036203,nodes,POINT (74.6968655 16.778109)
Arag,,station,,,,,,,,,919522061,nodes,POINT (74.7882614 16.8225542)
Sangrur,Sangrur,station,,,,,,,संगरूर,,807827473,nodes,POINT (75.8303715 30.2424006)
Mugad,,station,,,,,,,,,3879960394,nodes,POINT (74.9049364 15.4476671)
